Short	Familly	Species	Isolate	Genome_File	RAST_file	Type	Source	Genome_Folder
seq130	Beijerinckiaceae	Methylocella_tundrae	NA	GCF_038024855.1_MTun_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425196.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq125	Beijerinckiaceae	Methyloferula_stellata	NA	GCF_000385335.1_ASM38533v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425191.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq129	Beijerinckiaceae	Methylovirgula_ligni	NA	GCF_004135935.1_ASM413593v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425195.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq111	Boseaceae	Bosea_beijingensis	NA	GCA_030758975.1_ASM3075897v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425177.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq89	Boseaceae	Bosea_caraganae	NA	GCA_003351345.1_ASM335134v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425155.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq118	Boseaceae	Bosea_eneae	NA	GCA_042657265.1_ASM4265726v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425184.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq121	Boseaceae	Bosea_lathyri	NA	GCA_900108245.1_IMG-taxon_2622736433_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425187.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq122	Boseaceae	Bosea_lupini	NA	GCA_900109525.1_IMG-taxon_2634166302_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425188.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq117	Boseaceae	Bosea_massiliensis	NA	GCA_042655245.1_ASM4265524v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425183.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq105	Boseaceae	Bosea_minatitlanensis	NA	GCA_025209975.1_ASM2520997v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425171.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq86	Boseaceae	Bosea_psychrotolerans	NA	GCA_002917105.1_ASM291710v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425152.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq120	Boseaceae	Bosea_robiniae	NA	GCA_900102525.1_IMG-taxon_2675903146_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425186.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq112	Boseaceae	Bosea_rubneri	NA	GCA_032464875.1_ASM3246487v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425178.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq99	Boseaceae	Bosea_spartocytisi	NA	GCA_014764685.1_ASM1476468v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425165.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq123	Boseaceae	Bosea_thiooxidans	NA	GCA_900168195.1_IMG-taxon_2595698224_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425189.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq85	Boseaceae	Bosea_vaviloviae	NA	GCA_001741865.1_ASM174186v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425151.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq110	Boseaceae	Bosea_vestrisii	NA	GCA_030144325.1_ASM3014432v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425176.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq116	Chelatococcaceae	Camelimonas_abortus	NA	GCA_042432745.1_ASM4243274v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425182.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq98	Chelatococcaceae	Camelimonas_fluminis	NA	GCA_014656355.1_ASM1465635v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425164.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq119	Chelatococcaceae	Camelimonas_lactis	NA	GCA_042685445.1_ASM4268544v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425185.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq109	Chelatococcaceae	Chelatococcus_albus	NA	GCA_030067675.1_ASM3006767v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425175.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq100	Chelatococcaceae	Chelatococcus_asaccharovorans	NA	GCA_018398275.1_ASM1839827v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425166.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq95	Chelatococcaceae	Chelatococcus_caeni	NA	GCA_014196925.1_ASM1419692v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425161.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq101	Chelatococcaceae	Chelatococcus_composti	NA	GCA_018398355.1_ASM1839835v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425167.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq97	Chelatococcaceae	Chelatococcus_reniformis	NA	GCA_014640075.1_ASM1464007v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425163.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq84	Chelatococcaceae	Chelatococcus_sambhunathii	NA	GCA_001418005.1_ASM141800v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425150.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq94	Chelatococcaceae	Pseudochelatococcus_contaminans	NA	GCA_014195635.1_ASM1419563v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425160.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq115	Chelatococcaceae	Pseudochelatococcus_lubricantis	NA	GCA_042432495.1_ASM4243249v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425181.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq132	JAJXWB01	NA	NA	BP5-bin57.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425198.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq6	Lichenihabitantaceae	Lichenibacterium_dinghuense	6Y81	GCA_021730615.1_ASM2173061v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391984.txt	Genomics	Soil	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq3	Lichenihabitantaceae	Lichenibacterium_minor	RmlP026	GCA_004137685.1_ASM413768v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391981.txt	Genomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq2	Lichenihabitantaceae	Lichenibacterium_ramalinae	RmlP001	GCA_004137085.1_ASM413708v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391980.txt	Genomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq8	Lichenihabitantaceae	Lichenifustis_flavocetrariae	BP6-180914	GCA_026130545.1_ASM2613054v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391986.txt	Genomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq9	Lichenihabitantaceae	Lichenifustis_sp	Uapishka_5	GCA_033947565.1_ASM3394756v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391987.txt	Genomics	Snow	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq4	Lichenihabitantaceae	Lichenihabitans_psoromatis	PAMC_29148	GCA_004323635.1_ASM432363v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391982.txt	Genomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq5	Lichenihabitantaceae	Lichenihabitans_psoromatis	PAMC_29128	GCA_004327155.1_ASM432715v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391983.txt	Genomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq7	Lichenihabitantaceae	Lichenihabitans_sp	PAMC28606	GCA_020616535.1_ASM2061653v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1391985.txt	Genomics	Soil	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Genomes-Lichenihabitantaceae/
seq92	Methylobacteriaceae	Enterovirga_aerilata	NA	GCA_013044135.1_ASM1304413v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425158.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq147	Methylobacteriaceae	Enterovirga_rhinocerotis	NA	E_Ente_rhinocerotis_st56.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688667.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq151	Methylobacteriaceae	Enterovirga_sp_001	NA	E_Ente_sp_001_st47.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688721.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq114	Methylobacteriaceae	Hohaiivirga_grylli	NA	GCA_039655745.1_ASM3965574v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425180.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq150	Methylobacteriaceae	Methylobacterium_brachythecii	NA	B3_Meth_brachythecii_st55.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688715.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq152	Methylobacteriaceae	Methylobacterium_cerastii	NA	A5_Meth_cerastii_st130.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879398.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq145	Methylobacteriaceae	Methylobacterium_crusticola	NA	C2_Meth_crusticola_st151.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688612.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq139	Methylobacteriaceae	Methylobacterium_durans	NA	A3_Meth_durans_st7.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673108.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq135	Methylobacteriaceae	Methylobacterium_fujisawaense	NA	A1_Meth_fujisawaense_st36.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673028.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq153	Methylobacteriaceae	Methylobacterium_iners	NA	D6_Meth_iners_st135.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879404.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq154	Methylobacteriaceae	Methylobacterium_isbiliense	NA	C5_Meth_isbiliense_st136.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879405.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq155	Methylobacteriaceae	Methylobacterium_jeotgali	NA	A7_Meth_jeotgali_st137.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879406.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq156	Methylobacteriaceae	Methylobacterium_komagatae	NA	A2_Meth_komagatae_st138.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879407.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq134	Methylobacteriaceae	Methylobacterium_nodulans	NA	C3_Meth_nodulans_st167.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673022.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq157	Methylobacteriaceae	Methylobacterium_organophilum	NA	B4_Meth_organophilum_st142.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879411.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq142	Methylobacteriaceae	Methylobacterium_oryzihabitans	NA	C6_Meth_oryzihabitans_st185.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673124.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq140	Methylobacteriaceae	Methylobacterium_radiodurans	NA	A4_Meth_radiodurans_st11.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673110.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq143	Methylobacteriaceae	Methylobacterium_sp_001	NA	D4_Meth_sp_001_st33.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673191.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq137	Methylobacteriaceae	Methylobacterium_sp_009	NA	D2_Meth_sp_009_st103.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673049.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq136	Methylobacteriaceae	Methylobacterium_sp_011	NA	D3_Meth_sp_011_st120.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673041.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq148	Methylobacteriaceae	Methylobacterium_sp_013	NA	D1_Meth_sp_013_st18.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688673.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq138	Methylobacteriaceae	Methylobacterium_sp_017	NA	D5_Meth_sp_017_st107.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673059.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq141	Methylobacteriaceae	Methylobacterium_sp_043	NA	C1_Meth_sp_043_st8.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673114.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq133	Methylobacteriaceae	Methylobacterium_sp_044	NA	C4_Meth_sp_044_st16.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.673020.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq159	Methylobacteriaceae	Methylobacterium_suomiense	NA	B2_Meth_suomiense_st155.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.879421.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
seq146	Methylobacteriaceae	Methylobacterium_thiocyanatum	NA	B1_Meth_thiocyanatum_st207.fas	/Users/jean-baptisteleducq/Dropbox/METHYLOBACTERIUM/Github-R-Scripts-Methylo-Genomes/2-Determination-Methylobacterium-core-genome/Annotated-Genomes-to-use/6666666.688661.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Methylo-Metagenomics/Methylo-lineage-best-genomes/
